scenario_id,defect_type,true_has_defect,pred_has_defect,true_start,true_end,pred_start,pred_end,onset_error_hours,signed_onset_error_hours,active_interval_iou,duration_error_hours,false_alarm_before_start,true_node_id,pred_top_node_id,pred_true_node_rank,true_active_top_node_id,true_active_true_node_rank,n_windows,n_pred_active_windows,n_true_active_windows,seed,node_id,min_monitor_hop,observability_tier,nearest_monitors,nearest_monitor_path_m,nearest_monitor_by_length,reciprocal_rank,hit_top1,hit_top3,hit_top5,hop_group,nearest_monitor_path_km
331,E,1,1,2025-01-01 00:00:00,2025-01-01 06:00:00,2025-01-01 00:10:00,2025-01-01 08:00:00,0.1666666666666666,0.1666666666666666,0.7291666666666666,1.8333333333333333,0,HS1314477,HS1314477,1.0,HS1314477,1.0,42,3,3,42,HS1314477,1,near,HS1308324,215.0,HS1308324,1.0,1,1,1,"Near
1-hop",0.215
215,I,1,1,2025-01-01 20:00:00,2025-01-02 14:00:00,2025-01-01 17:10:00,2025-01-02 16:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1344902,MH0258475,3.0,MH0258475,3.0,42,18,18,42,HS1344902,3,far,HS1316467,330.265839,HS1316467,0.3333333333333333,0,1,1,"Far
3+ hops",0.330265839
122,I,1,1,2025-01-01 08:00:00,2025-01-01 14:00:00,2025-01-01 05:10:00,2025-01-01 16:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1313140,HS1313140,1.0,HS1313140,1.0,42,6,6,42,HS1313140,1,near,HS1313044,300.0,HS1313044,1.0,1,1,1,"Near
1-hop",0.3
21,I,1,1,2025-01-01 02:00:00,2025-01-02 02:00:00,2025-01-01 00:10:00,2025-01-02 03:00:00,1.8333333333333333,-1.8333333333333333,0.8944099378881988,2.833333333333333,1,HS1308259,HS1308259,1.0,HS1308259,1.0,42,22,23,42,HS1308259,1,near,HS1308324,138.031704,HS1308324,1.0,1,1,1,"Near
1-hop",0.13803170399999998
189,I,1,1,2025-01-01 02:00:00,2025-01-01 08:00:00,2025-01-01 03:10:00,2025-01-01 10:00:00,1.1666666666666667,1.1666666666666667,0.6041666666666666,0.8333333333333334,0,HS1313925,HS1313925,1.0,HS1313925,1.0,42,2,5,42,HS1313925,1,near,HS1313959,144.0,HS1313959,1.0,1,1,1,"Near
1-hop",0.144
72,I,1,1,2025-01-01 20:00:00,2025-01-02 08:00:00,2025-01-01 17:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,MH0201710,MH0201710,1.0,MH0201710,1.0,42,12,12,42,MH0201710,3,far,HS1306571,563.8679890000001,HS1306571,1.0,1,1,1,"Far
3+ hops",0.5638679890000001
107,I,1,1,2025-01-01 20:00:00,2025-01-02 20:00:00,2025-01-01 17:10:00,2025-01-02 22:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1313618,HS1313618,1.0,HS1313618,1.0,42,24,24,42,HS1313618,1,near,HS1313640,119.541045,HS1313640,1.0,1,1,1,"Near
1-hop",0.119541045
271,E,1,1,2025-01-01 06:00:00,2025-01-01 12:00:00,2025-01-01 05:10:00,2025-01-01 14:00:00,0.8333333333333334,-0.8333333333333334,0.6792452830188679,2.833333333333333,1,HS1308302,HS1308302,1.0,HS1308302,1.0,42,5,6,42,HS1308302,1,near,HS1308324;HS1308301,53.211163,HS1308301,1.0,1,1,1,"Near
1-hop",0.053211163
349,E,1,1,2025-01-01 12:00:00,2025-01-02 06:00:00,2025-01-01 09:10:00,2025-01-02 08:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1316563,HS1316643,4.0,HS1316643,4.0,42,18,18,42,HS1316563,0,direct,HS1316563,0.0,HS1316563,0.25,0,0,1,"Direct
0-hop",0.0
103,I,1,1,2025-01-01 20:00:00,2025-01-02 20:00:00,2025-01-01 17:10:00,2025-01-02 17:00:00,2.833333333333333,-2.833333333333333,0.782608695652174,0.1666666666666666,1,HS1316202,HS1316202,1.0,HS1316202,1.0,42,23,24,42,HS1316202,2,near,HS1316267,267.173943,HS1313835,1.0,1,1,1,"Near
2-hop",0.267173943
220,I,1,1,2025-01-01 08:00:00,2025-01-01 20:00:00,2025-01-01 05:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1306554,HS1306554,1.0,HS1306554,1.0,42,12,12,7,HS1306554,1,near,HS1306571,210.786979,HS1306571,1.0,1,1,1,"Near
1-hop",0.210786979
357,E,1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,2025-01-01 09:10:00,2025-01-02 02:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1316643,HS1344263,2.0,HS1344263,2.0,42,12,12,7,HS1316643,3,far,HS1316467;HS1316563,138.806216,HS1316467,0.5,0,1,1,"Far
3+ hops",0.138806216
150,I,1,1,2025-01-01 20:00:00,2025-01-02 02:00:00,2025-01-01 17:10:00,2025-01-02 04:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1311473,HS1311473,1.0,HS1311473,1.0,42,6,6,7,HS1311473,1,near,HS1313001,191.0,HS1313001,1.0,1,1,1,"Near
1-hop",0.191
225,I,1,1,2025-01-01 08:00:00,2025-01-02 02:00:00,2025-01-01 05:10:00,2025-01-01 15:00:00,2.833333333333333,-2.833333333333333,0.336,8.166666666666666,1,HS1330842,HS1314237,3.0,HS1330842,1.0,42,15,18,7,HS1330842,4,far,HS1306601,624.1955089999999,HS2003013,0.3333333333333333,0,1,1,"Far
3+ hops",0.6241955089999999
248,I,1,1,2025-01-01 02:00:00,2025-01-02 02:00:00,2025-01-01 00:10:00,2025-01-02 03:00:00,1.8333333333333333,-1.8333333333333333,0.8944099378881988,2.833333333333333,1,HS1344920,HS1344920,1.0,HS1344920,1.0,42,22,23,7,HS1344920,2,near,HS1313298,245.0,HS1313298,1.0,1,1,1,"Near
2-hop",0.245
391,E,1,1,2025-01-01 06:00:00,2025-01-02 00:00:00,2025-01-01 03:10:00,2025-01-02 02:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,MH0101924,MH0101924,1.0,MH0101924,1.0,42,18,18,7,MH0101924,1,near,HS1313402;MH0100292,72.446242,MH0100292,1.0,1,1,1,"Near
1-hop",0.072446242
152,I,1,1,2025-01-01 02:00:00,2025-01-01 20:00:00,2025-01-01 00:10:00,2025-01-01 22:00:00,1.8333333333333333,-1.8333333333333333,0.8244274809160306,3.8333333333333335,1,HS1316721,HS1316721,1.0,HS1316721,1.0,42,17,17,7,HS1316721,2,near,HS1316467,215.49990400000002,HS1316467,1.0,1,1,1,"Near
2-hop",0.21549990400000002
318,E,1,1,2025-01-01 18:00:00,2025-01-02 00:00:00,2025-01-01 15:10:00,2025-01-02 02:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1313597,HS1313597,1.0,HS1313597,1.0,42,6,6,7,HS1313597,0,direct,HS1313597,0.0,HS1313597,1.0,1,1,1,"Direct
0-hop",0.0
292,E,1,1,2025-01-01 06:00:00,2025-01-01 18:00:00,2025-01-01 03:10:00,2025-01-01 20:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1313140,HS1313140,1.0,HS1313140,1.0,42,12,12,7,HS1313140,1,near,HS1313044,300.0,HS1313044,1.0,1,1,1,"Near
1-hop",0.3
234,I,1,1,2025-01-01 08:00:00,2025-01-02 08:00:00,2025-01-01 05:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1313253,HS1313253,1.0,HS1313253,1.0,42,24,24,7,HS1313253,0,direct,HS1313253,0.0,HS1313253,1.0,1,1,1,"Direct
0-hop",0.0
11,I,1,1,2025-01-01 14:00:00,2025-01-01 20:00:00,2025-01-01 11:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,VP0232532,VP0232532,1.0,VP0232532,1.0,42,6,6,7,VP0232532,5,far,HS1306571,1244.965842,HS1306571,1.0,1,1,1,"Far
3+ hops",1.244965842
280,E,1,1,2025-01-01 18:00:00,2025-01-02 12:00:00,2025-01-01 15:10:00,2025-01-02 14:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1311339,HS1311339,1.0,HS1311339,1.0,42,18,18,7,HS1311339,3,far,MH0100292,802.6006580000001,MH0100292,1.0,1,1,1,"Far
3+ hops",0.802600658
72,I,1,1,2025-01-01 20:00:00,2025-01-02 08:00:00,2025-01-01 17:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,MH0201710,MH0201710,1.0,MH0201710,1.0,42,12,12,7,MH0201710,3,far,HS1306571,563.8679890000001,HS1306571,1.0,1,1,1,"Far
3+ hops",0.5638679890000001
253,E,1,1,2025-01-01 00:00:00,2025-01-01 18:00:00,2025-01-01 00:10:00,2025-01-01 20:00:00,0.1666666666666666,0.1666666666666666,0.8916666666666667,1.8333333333333333,0,HS1306571,HS1306571,1.0,HS1306571,1.0,42,15,15,7,HS1306571,0,direct,HS1306571,0.0,HS1306571,1.0,1,1,1,"Direct
0-hop",0.0
93,I,1,1,2025-01-01 14:00:00,2025-01-02 14:00:00,2025-01-01 11:10:00,2025-01-02 16:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1314237,HS1314237,1.0,HS1314237,1.0,42,24,24,7,HS1314237,7,far,HS1306601,995.4186589999999,HS2003013,1.0,1,1,1,"Far
3+ hops",0.9954186589999999
350,E,1,1,2025-01-01 12:00:00,2025-01-01 18:00:00,2025-01-01 09:10:00,2025-01-01 20:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1316563,HS1316585,7.0,HS1316585,7.0,42,6,6,7,HS1316563,0,direct,HS1316563,0.0,HS1316563,0.14285714285714285,0,0,0,"Direct
0-hop",0.0
375,E,1,1,2025-01-01 12:00:00,2025-01-02 12:00:00,2025-01-01 09:10:00,2025-01-02 14:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1344263,HS1316585,2.0,HS1316585,2.0,42,24,24,7,HS1344263,3,far,HS1316563,331.003716,HS1316563,0.5,0,1,1,"Far
3+ hops",0.331003716
193,I,1,1,2025-01-01 02:00:00,2025-01-02 02:00:00,2025-01-01 00:10:00,2025-01-02 04:00:00,1.8333333333333333,-1.8333333333333333,0.8622754491017964,3.8333333333333335,1,HS1313001,HS1311473,2.0,HS1311473,2.0,42,23,23,7,HS1313001,0,direct,HS1313001,0.0,HS1313001,0.5,0,1,1,"Direct
0-hop",0.0
258,E,1,1,2025-01-01 18:00:00,2025-01-02 12:00:00,2025-01-01 15:10:00,2025-01-02 14:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1306601,HS1306601,1.0,HS1306601,1.0,42,18,18,7,HS1306601,0,direct,HS1306601,0.0,HS1306601,1.0,1,1,1,"Direct
0-hop",0.0
340,E,1,1,2025-01-01 12:00:00,2025-01-02 06:00:00,2025-01-01 09:10:00,2025-01-02 07:00:00,2.833333333333333,-2.833333333333333,0.8244274809160306,3.8333333333333335,1,HS1314505,HS1314505,1.0,HS1314505,1.0,42,17,18,7,HS1314505,2,near,HS2003013,245.522129,HS2003013,1.0,1,1,1,"Near
2-hop",0.245522129
196,I,1,1,2025-01-01 20:00:00,2025-01-02 20:00:00,2025-01-01 17:10:00,2025-01-02 22:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,MH0101924,MH0101924,1.0,MH0101924,1.0,42,24,24,7,MH0101924,1,near,HS1313402;MH0100292,72.446242,MH0100292,1.0,1,1,1,"Near
1-hop",0.072446242
344,E,1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,2025-01-01 09:10:00,2025-01-02 02:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1316202,HS1316202,1.0,HS1316202,1.0,42,12,12,7,HS1316202,2,near,HS1316267,267.173943,HS1313835,1.0,1,1,1,"Near
2-hop",0.267173943
138,I,1,1,2025-01-01 02:00:00,2025-01-01 08:00:00,2025-01-01 00:10:00,2025-01-01 10:00:00,1.8333333333333333,-1.8333333333333333,0.6101694915254238,3.8333333333333335,1,HS1306571,HS1306601,2.0,HS1306601,2.0,42,5,5,7,HS1306571,0,direct,HS1306571,0.0,HS1306571,0.5,0,1,1,"Direct
0-hop",0.0
261,E,1,1,2025-01-01 06:00:00,2025-01-02 00:00:00,2025-01-01 02:10:00,2025-01-02 01:00:00,3.8333333333333335,-3.8333333333333335,0.7883211678832117,4.833333333333333,1,HS1306904,HS1306904,1.0,HS1306904,1.0,42,18,18,7,HS1306904,0,direct,HS1306904,0.0,HS1306904,1.0,1,1,1,"Direct
0-hop",0.0
39,I,1,1,2025-01-01 08:00:00,2025-01-02 08:00:00,2025-01-01 05:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1313298,HS1313298,1.0,HS1313298,1.0,42,24,24,7,HS1313298,0,direct,HS1313298,0.0,HS1313298,1.0,1,1,1,"Direct
0-hop",0.0
202,I,1,1,2025-01-01 14:00:00,2025-01-02 08:00:00,2025-01-01 11:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS2003111,HS1330842,4.0,HS1330842,4.0,42,18,18,7,HS2003111,5,far,HS1306601,768.2770509999999,HS2003013,0.25,0,0,1,"Far
3+ hops",0.7682770509999999
411,E,1,1,2025-01-01 12:00:00,2025-01-02 12:00:00,2025-01-01 09:10:00,2025-01-02 14:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,MH0242782,MH0242782,1.0,MH0242782,1.0,42,24,24,7,MH0242782,4,far,HS1316563,539.0394650000001,HS1316563,1.0,1,1,1,"Far
3+ hops",0.5390394650000001
291,E,1,1,2025-01-01 06:00:00,2025-01-01 12:00:00,2025-01-01 03:10:00,2025-01-01 14:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1313140,HS1313140,1.0,HS1313140,1.0,42,6,6,7,HS1313140,1,near,HS1313044,300.0,HS1313044,1.0,1,1,1,"Near
1-hop",0.3
190,I,1,1,2025-01-01 14:00:00,2025-01-02 14:00:00,2025-01-01 12:10:00,2025-01-01 21:00:00,1.8333333333333333,-1.8333333333333333,0.2709677419354839,15.166666666666666,1,HS1313925,HS1344902,4.0,HS1313925,1.0,42,14,24,7,HS1313925,1,near,HS1313959,144.0,HS1313959,0.25,0,0,1,"Near
1-hop",0.144
252,E,1,1,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-01 00:10:00,2025-01-02 02:00:00,0.1666666666666666,0.1666666666666666,0.9166666666666666,1.8333333333333333,0,HS1306571,HS1306554,2.0,HS1306571,1.0,42,21,21,7,HS1306571,0,direct,HS1306571,0.0,HS1306571,0.5,0,1,1,"Direct
0-hop",0.0
113,I,1,1,2025-01-01 08:00:00,2025-01-02 08:00:00,2025-01-01 05:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1306471,HS1316814,2.0,HS1316814,2.0,42,24,24,7,HS1306471,4,far,HS1316467,619.348917,HS1316467,0.5,0,1,1,"Far
3+ hops",0.619348917
184,I,1,1,2025-01-01 02:00:00,2025-01-01 08:00:00,2025-01-01 00:10:00,2025-01-01 10:00:00,1.8333333333333333,-1.8333333333333333,0.6101694915254238,3.8333333333333335,1,HS1316415,HS1316415,1.0,HS1316415,1.0,42,5,5,7,HS1316415,4,far,HS1316267,501.48219,HS1313835,1.0,1,1,1,"Far
3+ hops",0.50148219
153,I,1,1,2025-01-01 14:00:00,2025-01-02 08:00:00,2025-01-01 11:10:00,2025-01-02 10:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1316721,HS1316721,1.0,HS1316721,1.0,42,18,18,7,HS1316721,2,near,HS1316467,215.49990400000002,HS1316467,1.0,1,1,1,"Near
2-hop",0.21549990400000002
313,E,1,1,2025-01-01 00:00:00,2025-01-01 06:00:00,2025-01-01 00:10:00,2025-01-01 08:00:00,0.1666666666666666,0.1666666666666666,0.7291666666666666,1.8333333333333333,0,HS1313402,HS1313402,1.0,HS1313402,1.0,42,3,3,7,HS1313402,0,direct,HS1313402,0.0,HS1313402,1.0,1,1,1,"Direct
0-hop",0.0
326,E,1,1,2025-01-01 06:00:00,2025-01-01 18:00:00,2025-01-01 05:10:00,2025-01-01 16:00:00,0.8333333333333334,-0.8333333333333334,0.7792207792207793,1.1666666666666667,1,HS1314237,HS1314237,1.0,HS1314237,1.0,42,8,12,7,HS1314237,7,far,HS1306601,995.4186589999999,HS2003013,1.0,1,1,1,"Far
3+ hops",0.9954186589999999
192,I,1,1,2025-01-01 14:00:00,2025-01-01 20:00:00,2025-01-01 11:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS1313001,HS1313001,1.0,HS1313001,1.0,42,6,6,7,HS1313001,0,direct,HS1313001,0.0,HS1313001,1.0,1,1,1,"Direct
0-hop",0.0
45,I,1,1,2025-01-01 08:00:00,2025-01-01 14:00:00,2025-01-01 05:10:00,2025-01-01 16:00:00,2.833333333333333,-2.833333333333333,0.5538461538461539,4.833333333333333,1,HS2003046,HS2003015,3.0,HS2003015,3.0,42,6,6,7,HS2003046,1,near,HS1306601,303.09079399999996,HS2003013,0.3333333333333333,0,1,1,"Near
1-hop",0.30309079399999994
276,E,1,1,2025-01-01 12:00:00,2025-01-02 12:00:00,2025-01-01 09:10:00,2025-01-02 14:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1311339,HS1311339,1.0,HS1311339,1.0,42,24,24,7,HS1311339,3,far,MH0100292,802.6006580000001,MH0100292,1.0,1,1,1,"Far
3+ hops",0.802600658
7,I,1,1,2025-01-01 08:00:00,2025-01-01 20:00:00,2025-01-01 05:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,MH0258475,MH0258475,1.0,MH0258475,1.0,42,12,12,7,MH0258475,5,far,HS1316563,746.8936820000001,HS1316563,1.0,1,1,1,"Far
3+ hops",0.7468936820000002
251,E,1,1,2025-01-01 06:00:00,2025-01-01 12:00:00,2025-01-01 02:10:00,2025-01-01 14:00:00,3.8333333333333335,-3.8333333333333335,0.5070422535211268,5.833333333333333,1,HS1306571,HS1306571,1.0,HS1306571,1.0,42,7,6,7,HS1306571,0,direct,HS1306571,0.0,HS1306571,1.0,1,1,1,"Direct
0-hop",0.0
312,E,1,1,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-01 00:10:00,2025-01-02 02:00:00,0.1666666666666666,0.1666666666666666,0.9166666666666666,1.8333333333333333,0,HS1313402,MH0101924,2.0,MH0101924,2.0,42,21,21,7,HS1313402,0,direct,HS1313402,0.0,HS1313402,0.5,0,1,1,"Direct
0-hop",0.0
76,I,1,1,2025-01-01 14:00:00,2025-01-02 02:00:00,2025-01-01 11:10:00,2025-01-02 04:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1344263,HS1344263,1.0,HS1344263,1.0,42,12,12,7,HS1344263,3,far,HS1316563,331.003716,HS1316563,1.0,1,1,1,"Far
3+ hops",0.331003716
1,I,1,1,2025-01-01 08:00:00,2025-01-01 20:00:00,2025-01-01 05:10:00,2025-01-01 22:00:00,2.833333333333333,-2.833333333333333,0.7128712871287128,4.833333333333333,1,HS1313402,HS1313402,1.0,HS1313402,1.0,42,12,12,7,HS1313402,0,direct,HS1313402,0.0,HS1313402,1.0,1,1,1,"Direct
0-hop",0.0
392,E,1,1,2025-01-01 06:00:00,2025-01-02 06:00:00,2025-01-01 03:10:00,2025-01-02 08:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,MH0101924,MH0101924,1.0,MH0101924,1.0,42,24,24,7,MH0101924,1,near,HS1313402;MH0100292,72.446242,MH0100292,1.0,1,1,1,"Near
1-hop",0.072446242
384,E,1,1,2025-01-01 12:00:00,2025-01-02 06:00:00,2025-01-01 09:10:00,2025-01-02 08:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS2003046,HS2003046,1.0,HS2003046,1.0,42,18,18,7,HS2003046,1,near,HS1306601,303.09079399999996,HS2003013,1.0,1,1,1,"Near
1-hop",0.30309079399999994
69,I,1,1,2025-01-01 20:00:00,2025-01-02 14:00:00,2025-01-01 17:10:00,2025-01-02 16:00:00,2.833333333333333,-2.833333333333333,0.7883211678832117,4.833333333333333,1,HS1313025,HS1313025,1.0,HS1313025,1.0,42,18,18,7,HS1313025,0,direct,HS1313025,0.0,HS1313025,1.0,1,1,1,"Direct
0-hop",0.0
168,I,1,1,2025-01-01 20:00:00,2025-01-02 20:00:00,2025-01-01 17:10:00,2025-01-02 22:00:00,2.833333333333333,-2.833333333333333,0.8323699421965318,4.833333333333333,1,HS1313205,HS1313205,1.0,HS1313205,1.0,42,24,24,7,HS1313205,0,direct,HS1313205,0.0,HS1313205,1.0,1,1,1,"Direct
0-hop",0.0
